NU,SIGMA2,FREQ,TAU,SKEW,XMAX,PROBUT,P_XP,N_VARREG,HERL_factor,JERL_factor
0.1,0.5,0.99,2.215532818,-0.15,1.566618279,0.99,0.99,3,0.198034942,0.206580268
0.1,0.5,0.99,2.436013014,0.15,1.722521321,0.99,0.99,3,0.20397626,0.194738608
0.1,0.5,0.99,2.508325192,0.25,1.773653752,0.99,0.99,3,0.205726538,0.189913602
0.1,0.5,0.99,2.579901085,0.35,1.824265552,0.99,0.99,3,0.207396095,0.184736958
0.1,0.5,0.99,2.650665388,0.45,1.87430347,0.99,0.99,3,0.208999066,0.179328514
0.1,0.5,0.99,2.720549363,0.55,1.923718903,0.99,0.99,3,0.210549408,0.173831815
0.1,0.5,0.99,2.789490024,0.65,1.972467312,0.99,0.99,3,0.212060661,0.168386751
0.1,0.5,0.99,2.857429488,0.75,2.020507768,0.99,0.99,3,0.213546141,0.163111272
0.1,0.5,0.99,2.924314485,0.85,2.067802602,0.99,0.99,3,0.215018123,0.158092765
0.1,0.5,0.99,2.990096007,0.95,2.114317163,0.99,0.99,3,0.21648835,0.153389352
0.1,0.5,0.99,3.05472908,1.05,2.160019647,0.99,0.99,3,0.217968002,0.149034578
0.1,0.5,0.99,3.11817263,1.15,2.204881011,0.99,0.99,3,0.219467701,0.145043351
0.1,0.5,0.99,3.180389424,1.25,2.248874928,0.99,0.99,3,0.220997492,0.141417491
0.1,0.5,0.99,3.24134606,1.35,2.291977779,0.99,0.99,3,0.222566894,0.138150189
0.1,0.5,0.999,1.437275587,-1.35,1.016307314,0.999,0.99,3,0.145961344,0.182426091
0.1,0.5,0.999,1.52872493,-1.25,1.080971765,0.999,0.99,3,0.14974259,0.188907751
0.1,0.5,0.999,1.626801488,-1.15,1.150322364,0.999,0.99,3,0.153062794,0.194147657
0.1,0.5,0.999,1.73123808,-1.05,1.224170186,0.999,0.99,3,0.15611792,0.198427904
0.1,0.5,0.999,1.841645999,-0.95,1.302240375,0.999,0.99,3,0.159048025,0.201915611
0.1,0.5,0.999,1.957547912,-0.85,1.384195403,0.999,0.99,3,0.161942179,0.204663358
0.1,0.5,0.999,2.078412669,-0.75,1.469659692,0.999,0.99,3,0.164849525,0.206626826
0.1,0.5,0.999,2.203686924,-0.65,1.558241967,0.999,0.99,3,0.167790771,0.207689655
0.1,0.5,0.999,2.332820533,-0.55,1.649553218,0.999,0.99,3,0.170767771,0.207696383
0.1,0.5,0.999,2.465284775,-0.45,1.743219582,0.999,0.99,3,0.173770736,0.206495997
0.1,0.5,0.999,2.600583891,-0.35,1.838890504,0.999,0.99,3,0.176783501,0.204000959
0.1,0.5,0.999,2.738261206,-0.25,1.936243067,0.999,0.99,3,0.179787407,0.200251704
0.1,0.5,0.999,2.877901268,-0.15,2.034983502,0.999,0.99,3,0.182756615,0.195442589
0.1,0.5,0.999,3.305039667,0.15,2.33701596,0.999,0.99,3,0.191306761,0.178800362
0.1,0.5,0.999,3.449152333,0.25,2.438919004,0.999,0.99,3,0.193987716,0.1739109
0.1,0.5,0.999,3.593706756,0.35,2.541134417,0.999,0.99,3,0.196552239,0.169759899
0.1,0.5,0.999,3.738487874,0.45,2.643510127,0.999,0.99,3,0.198998747,0.16640702
0.1,0.5,0.999,3.883302824,0.55,2.74590976,0.999,0.99,3,0.201318556,0.163798946
0.1,0.5,0.999,4.027978249,0.65,2.848210734,0.999,0.99,3,0.203505934,0.161830424
